week_date,total_request,apply_promo_code,not_apply_promo_code,total_promo_code_mem,total_crediweb_mem,total_link_mem,total_gift_mem,total_convert,total_not_convert,total_apply_for_cashback,total_approved,total_dis_approved,total_invalid
1/7/2018,149,82,67,59,23,0,0,121,28,82,78,2,2
1/14/2018,180,113,67,99,14,0,0,141,39,91,82,8,1
1/21/2018,168,77,91,66,10,1,0,109,59,61,53,8,0
1/28/2018,159,88,71,32,56,0,0,82,77,50,36,12,2
2/4/2018,217,135,82,117,14,4,0,148,69,56,48,6,2
2/11/2018,206,151,55,76,59,16,0,125,81,32,23,9,0
2/18/2018,204,157,47,106,12,39,0,81,123,45,37,8,0
2/25/2018,145,119,26,71,11,37,0,95,50,52,44,8,0
3/4/2018,178,167,11,109,17,41,0,141,37,47,35,12,0
3/11/2018,176,161,15,90,14,57,0,122,54,77,57,20,0
3/18/2018,235,222,13,125,9,84,4,131,104,80,67,13,0
3/25/2018,210,201,9,135,3,63,0,112,98,38,25,13,0
4/1/2018,106,95,11,59,1,35,0,71,35,30,23,7,0
4/8/2018,43,42,1,27,0,15,0,13,30,1,1,0,0
4/15/2018,69,68,1,53,9,6,0,16,53,4,4,0,0
4/22/2018,39,39,0,29,6,3,1,4,35,2,1,1,0
